date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:37:16	34092/34092	---M--	200	added ('OK')	application/x-font-ttf	date:Fri,%2017%20Jul%202020%2022:46:53%20GMT	https://nephos.cssninja.io/assets/fonts/fa-regular-400.ttf	D:/kuliah/farm-template/nephos.cssninja.io/assets/fonts/fa-regular-400.ttf	(from https://nephos.cssninja.io/assets/css/app.css)
13:37:16	691865/691865	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2017%20Jul%202020%2022:46:52%20GMT	https://nephos.cssninja.io/assets/fonts/fa-brands-400.svg	D:/kuliah/farm-template/nephos.cssninja.io/assets/fonts/fa-brands-400.svg	(from https://nephos.cssninja.io/assets/css/app.css)
13:37:17	144451/144451	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2017%20Jul%202020%2022:46:53%20GMT	https://nephos.cssninja.io/assets/fonts/fa-regular-400.svg	D:/kuliah/farm-template/nephos.cssninja.io/assets/fonts/fa-regular-400.svg	(from https://nephos.cssninja.io/assets/css/app.css)
13:37:17	186708/186708	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2017%20Jul%202020%2022:46:53%20GMT	https://nephos.cssninja.io/assets/fonts/fa-solid-900.eot	D:/kuliah/farm-template/nephos.cssninja.io/assets/fonts/fa-solid-900.eot	(from https://nephos.cssninja.io/assets/css/app.css)
13:37:17	74328/74328	---M--	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2022:46:54%20GMT	https://nephos.cssninja.io/assets/fonts/fa-solid-900.woff2	D:/kuliah/farm-template/nephos.cssninja.io/assets/fonts/fa-solid-900.html	(from https://nephos.cssninja.io/assets/css/app.css)
13:37:17	186708/186708	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2017%20Jul%202020%2022:46:53%20GMT	https://nephos.cssninja.io/assets/fonts/fa-solid-900.eot?	D:/kuliah/farm-template/nephos.cssninja.io/assets/fonts/fa-solid-900d41d.eot	(from https://nephos.cssninja.io/assets/css/app.css)
13:37:18	96256/96256	---M--	200	added ('OK')	application/x-font-woff	date:Fri,%2017%20Jul%202020%2022:46:54%20GMT	https://nephos.cssninja.io/assets/fonts/fa-solid-900.woff	D:/kuliah/farm-template/nephos.cssninja.io/assets/fonts/fa-solid-900.woff	(from https://nephos.cssninja.io/assets/css/app.css)
13:37:27	31959/31959	---M--	200	added ('OK')	image/jpeg	etag:%2253c22258-7cd7%22	http://cdn.thedesigninspiration.com/wp-content/uploads/2014/07/Icon-Pattern-l.jpg	D:/kuliah/farm-template/cdn.thedesigninspiration.com/wp-content/uploads/2014/07/Icon-Pattern-l.jpg	(from https://nephos.cssninja.io/assets/css/main.css)
13:37:27	186424/186424	---M--	200	added ('OK')	application/x-font-ttf	date:Fri,%2017%20Jul%202020%2022:46:54%20GMT	https://nephos.cssninja.io/assets/fonts/fa-solid-900.ttf	D:/kuliah/farm-template/nephos.cssninja.io/assets/fonts/fa-solid-900.ttf	(from https://nephos.cssninja.io/assets/css/app.css)
13:37:27	629/629	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2017%20Jul%202020%2022:47:06%20GMT	https://nephos.cssninja.io/assets/img/logo/nephos-greyscale.svg	D:/kuliah/farm-template/nephos.cssninja.io/assets/img/logo/nephos-greyscale.svg	(from https://nephos.cssninja.io/account.html)
